
Due to MODULEPATH changes, the following have been reloaded:
  1) mii/1.1.1

/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpiexec
/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpirun
Number of Vertices for coarse grid 2253001
Number of Vertices for fine mesh in process  0  115384
2	
	-111111	  3	
order of input  2
order of output  3
Mean of Gaussian  0
Sd of Gaussian  0.3
      7 KSP Residual norm 3.869010311509e-01 
      8 KSP Residual norm 3.648313288123e-01 
      9 KSP Residual norm 3.511342244446e-01 
     10 KSP Residual norm 3.401342187780e-01 
     11 KSP Residual norm 3.284152210491e-01 
     12 KSP Residual norm 3.184993711727e-01 
     13 KSP Residual norm 3.103880550898e-01 
     14 KSP Residual norm 3.030842217355e-01 
     15 KSP Residual norm 2.960812460111e-01 
     16 KSP Residual norm 2.898969559895e-01 
     17 KSP Residual norm 2.850275708442e-01 
     18 KSP Residual norm 2.804301304293e-01 
     19 KSP Residual norm 2.755310232396e-01 
     20 KSP Residual norm 2.717881684686e-01 
     21 KSP Residual norm 2.686526039076e-01 
     22 KSP Residual norm 2.652848791139e-01 
     23 KSP Residual norm 2.624948534741e-01 
     24 KSP Residual norm 2.602182962032e-01 
     25 KSP Residual norm 2.580021586161e-01 
     26 KSP Residual norm 2.557887613809e-01 
     27 KSP Residual norm 2.538182290076e-01 
     28 KSP Residual norm 2.521933505892e-01 
     29 KSP Residual norm 2.506332462120e-01 
     30 KSP Residual norm 2.489645808272e-01 
     31 KSP Residual norm 2.485046664479e-01 
     32 KSP Residual norm 2.481085987506e-01 
     33 KSP Residual norm 2.470617249978e-01 
     34 KSP Residual norm 2.463277708062e-01 
     35 KSP Residual norm 2.456996148775e-01 
     36 KSP Residual norm 2.448028308253e-01 
     37 KSP Residual norm 2.438744078329e-01 
     38 KSP Residual norm 2.430434596330e-01 
     39 KSP Residual norm 2.422606922795e-01 
     40 KSP Residual norm 2.411530834989e-01 
     41 KSP Residual norm 2.401859396013e-01 
     42 KSP Residual norm 2.391784431512e-01 
     43 KSP Residual norm 2.380618240619e-01 
     44 KSP Residual norm 2.368732876740e-01 
     45 KSP Residual norm 2.357009960669e-01 
     46 KSP Residual norm 2.338283429153e-01 
     47 KSP Residual norm 2.316571049813e-01 
     48 KSP Residual norm 2.304006723906e-01 
     49 KSP Residual norm 2.289028279399e-01 
     50 KSP Residual norm 2.274970321405e-01 
     51 KSP Residual norm 2.257197039702e-01 
     52 KSP Residual norm 2.241140103837e-01 
     53 KSP Residual norm 2.221619941867e-01 
     54 KSP Residual norm 2.202013138509e-01 
     55 KSP Residual norm 2.180590638790e-01 
     56 KSP Residual norm 2.158171499452e-01 
     57 KSP Residual norm 2.133636656289e-01 
     58 KSP Residual norm 2.109263079247e-01 
     59 KSP Residual norm 2.080786632689e-01 
     60 KSP Residual norm 2.050749732096e-01 
     61 KSP Residual norm 2.039922204232e-01 
     62 KSP Residual norm 2.031301770333e-01 
     63 KSP Residual norm 2.019928418457e-01 
     64 KSP Residual norm 2.011078593255e-01 
     65 KSP Residual norm 2.003408854531e-01 
     66 KSP Residual norm 1.992838547681e-01 
     67 KSP Residual norm 1.982170199185e-01 
     68 KSP Residual norm 1.972641263216e-01 
     69 KSP Residual norm 1.963312398433e-01 
     70 KSP Residual norm 1.951667109318e-01 
     71 KSP Residual norm 1.940971033296e-01 
     72 KSP Residual norm 1.930825559309e-01 
     73 KSP Residual norm 1.921058700504e-01 
     74 KSP Residual norm 1.908462957021e-01 
     75 KSP Residual norm 1.896937974527e-01 
     76 KSP Residual norm 1.888382843694e-01 
     77 KSP Residual norm 1.878564843313e-01 
     78 KSP Residual norm 1.866959278979e-01 
     79 KSP Residual norm 1.858296721327e-01 
     80 KSP Residual norm 1.851508450818e-01 
     81 KSP Residual norm 1.843322381963e-01 
     82 KSP Residual norm 1.836187604702e-01 
     83 KSP Residual norm 1.830386389278e-01 
     84 KSP Residual norm 1.824931082193e-01 
     85 KSP Residual norm 1.818264146836e-01 
     86 KSP Residual norm 1.813657370124e-01 
     87 KSP Residual norm 1.809238090503e-01 
     88 KSP Residual norm 1.803718722033e-01 
     89 KSP Residual norm 1.798114940142e-01 
     90 KSP Residual norm 1.793726079216e-01 
     91 KSP Residual norm 1.791373761208e-01 
     92 KSP Residual norm 1.788916733422e-01 
     93 KSP Residual norm 1.784418843836e-01 
     94 KSP Residual norm 1.781511069661e-01 
     95 KSP Residual norm 1.779214084224e-01 
     96 KSP Residual norm 1.775103931311e-01 
     97 KSP Residual norm 1.771532244028e-01 
     98 KSP Residual norm 1.768212329654e-01 
     99 KSP Residual norm 1.764164450227e-01 
    100 KSP Residual norm 1.759163808153e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  3 KSP Residual norm 3.283105657364e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 9.200908317271e-01 
      1 KSP Residual norm 6.914330792866e-01 
      2 KSP Residual norm 5.830032900662e-01 
      3 KSP Residual norm 5.219250043447e-01 
      4 KSP Residual norm 4.725194335322e-01 
      5 KSP Residual norm 4.322810814136e-01 
      6 KSP Residual norm 4.086955728553e-01 
      7 KSP Residual norm 3.891859024910e-01 
      8 KSP Residual norm 3.676228030774e-01 
      9 KSP Residual norm 3.541155159591e-01 
     10 KSP Residual norm 3.437226184267e-01 
     11 KSP Residual norm 3.318416942462e-01 
     12 KSP Residual norm 3.216715649901e-01 
     13 KSP Residual norm 3.137575521879e-01 
     14 KSP Residual norm 3.066784097305e-01 
     15 KSP Residual norm 2.998532686198e-01 
     16 KSP Residual norm 2.937655937562e-01 
     17 KSP Residual norm 2.888863649912e-01 
     18 KSP Residual norm 2.843860396435e-01 
     19 KSP Residual norm 2.794843756769e-01 
     20 KSP Residual norm 2.757748420076e-01 
     21 KSP Residual norm 2.727235249329e-01 
     22 KSP Residual norm 2.693637276957e-01 
     23 KSP Residual norm 2.664234596298e-01 
     24 KSP Residual norm 2.640718611275e-01 
     25 KSP Residual norm 2.618763660531e-01 
     26 KSP Residual norm 2.597302966583e-01 
     27 KSP Residual norm 2.578771797475e-01 
     28 KSP Residual norm 2.563716853038e-01 
     29 KSP Residual norm 2.549593044522e-01 
     30 KSP Residual norm 2.534128710021e-01 
     31 KSP Residual norm 2.530081217969e-01 
     32 KSP Residual norm 2.526836437607e-01 
     33 KSP Residual norm 2.517313492083e-01 
     34 KSP Residual norm 2.510648390824e-01 
     35 KSP Residual norm 2.505132113556e-01 
     36 KSP Residual norm 2.497160559673e-01 
     37 KSP Residual norm 2.488584613993e-01 
     38 KSP Residual norm 2.481148575258e-01 
     39 KSP Residual norm 2.474411202774e-01 
     40 KSP Residual norm 2.464908971125e-01 
     41 KSP Residual norm 2.456714459750e-01 
     42 KSP Residual norm 2.448333566242e-01 
     43 KSP Residual norm 2.439061365866e-01 
     44 KSP Residual norm 2.429302670448e-01 
     45 KSP Residual norm 2.419841233966e-01 
     46 KSP Residual norm 2.403841648985e-01 
     47 KSP Residual norm 2.386906192271e-01 
     48 KSP Residual norm 2.377121222236e-01 
     49 KSP Residual norm 2.365403990654e-01 
     50 KSP Residual norm 2.354764182471e-01 
     51 KSP Residual norm 2.341565222597e-01 
     52 KSP Residual norm 2.329782363496e-01 
     53 KSP Residual norm 2.315228138003e-01 
     54 KSP Residual norm 2.300807727611e-01 
     55 KSP Residual norm 2.284960809145e-01 
     56 KSP Residual norm 2.268270503274e-01 
     57 KSP Residual norm 2.250140656381e-01 
     58 KSP Residual norm 2.233027358736e-01 
     59 KSP Residual norm 2.212735413861e-01 
     60 KSP Residual norm 2.191540287050e-01 
     61 KSP Residual norm 2.184898954425e-01 
     62 KSP Residual norm 2.179795402218e-01 
     63 KSP Residual norm 2.170990378969e-01 
     64 KSP Residual norm 2.164537853207e-01 
     65 KSP Residual norm 2.159195666281e-01 
     66 KSP Residual norm 2.151102460947e-01 
     67 KSP Residual norm 2.142237310345e-01 
     68 KSP Residual norm 2.135007028127e-01 
     69 KSP Residual norm 2.127683521749e-01 
     70 KSP Residual norm 2.117718516559e-01 
     71 KSP Residual norm 2.109172364370e-01 
     72 KSP Residual norm 2.101187970042e-01 
     73 KSP Residual norm 2.092923424583e-01 
     74 KSP Residual norm 2.082058279071e-01 
     75 KSP Residual norm 2.072892817014e-01 
     76 KSP Residual norm 2.065247084687e-01 
     77 KSP Residual norm 2.055959537474e-01 
     78 KSP Residual norm 2.046047534213e-01 
     79 KSP Residual norm 2.038214395767e-01 
     80 KSP Residual norm 2.031955908723e-01 
     81 KSP Residual norm 2.024366660873e-01 
     82 KSP Residual norm 2.017880861136e-01 
     83 KSP Residual norm 2.012363452845e-01 
     84 KSP Residual norm 2.007016231808e-01 
     85 KSP Residual norm 2.000779417185e-01 
     86 KSP Residual norm 1.995962768825e-01 
     87 KSP Residual norm 1.991287002144e-01 
     88 KSP Residual norm 1.985676522739e-01 
     89 KSP Residual norm 1.979727439105e-01 
     90 KSP Residual norm 1.974881086082e-01 
     91 KSP Residual norm 1.972615576798e-01 
     92 KSP Residual norm 1.970308107108e-01 
     93 KSP Residual norm 1.965234675010e-01 
     94 KSP Residual norm 1.962104599027e-01 
     95 KSP Residual norm 1.959802911945e-01 
     96 KSP Residual norm 1.955617393953e-01 
     97 KSP Residual norm 1.951780229944e-01 
     98 KSP Residual norm 1.948192319878e-01 
     99 KSP Residual norm 1.943938651963e-01 
    100 KSP Residual norm 1.938634410939e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  4 KSP Residual norm 3.196869407369e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.948583891850e-01 
      1 KSP Residual norm 5.990169944657e-01 
      2 KSP Residual norm 5.053930620328e-01 
      3 KSP Residual norm 4.513866780667e-01 
      4 KSP Residual norm 4.088196108771e-01 
      5 KSP Residual norm 3.739056829402e-01 
      6 KSP Residual norm 3.531236733141e-01 
      7 KSP Residual norm 3.365685700075e-01 
      8 KSP Residual norm 3.181403787394e-01 
      9 KSP Residual norm 3.059097540045e-01 
     10 KSP Residual norm 2.967036897581e-01 
     11 KSP Residual norm 2.858668573994e-01 
     12 KSP Residual norm 2.767645145266e-01 
     13 KSP Residual norm 2.698106124013e-01 
     14 KSP Residual norm 2.636784142537e-01 
     15 KSP Residual norm 2.576271255025e-01 
     16 KSP Residual norm 2.520910081239e-01 
     17 KSP Residual norm 2.476301543608e-01 
     18 KSP Residual norm 2.436163797682e-01 
     19 KSP Residual norm 2.392888936682e-01 
     20 KSP Residual norm 2.360148049111e-01 
     21 KSP Residual norm 2.334088534034e-01 
     22 KSP Residual norm 2.305650946134e-01 
     23 KSP Residual norm 2.280477472437e-01 
     24 KSP Residual norm 2.260723520220e-01 
     25 KSP Residual norm 2.241547452362e-01 
     26 KSP Residual norm 2.222363283373e-01 
     27 KSP Residual norm 2.205268253864e-01 
     28 KSP Residual norm 2.190451961809e-01 
     29 KSP Residual norm 2.176276149380e-01 
     30 KSP Residual norm 2.160719605332e-01 
     31 KSP Residual norm 2.156153971766e-01 
     32 KSP Residual norm 2.152321207152e-01 
     33 KSP Residual norm 2.142603736305e-01 
     34 KSP Residual norm 2.135754990543e-01 
     35 KSP Residual norm 2.129844812966e-01 
     36 KSP Residual norm 2.121303605863e-01 
     37 KSP Residual norm 2.112444404184e-01 
     38 KSP Residual norm 2.104320476667e-01 
     39 KSP Residual norm 2.096536261030e-01 
     40 KSP Residual norm 2.085740148016e-01 
     41 KSP Residual norm 2.076081229697e-01 
     42 KSP Residual norm 2.065978711561e-01 
     43 KSP Residual norm 2.054408597715e-01 
     44 KSP Residual norm 2.041997503652e-01 
     45 KSP Residual norm 2.029725205988e-01 
     46 KSP Residual norm 2.009103647731e-01 
     47 KSP Residual norm 1.987552134465e-01 
     48 KSP Residual norm 1.973520821424e-01 
     49 KSP Residual norm 1.957183546799e-01 
     50 KSP Residual norm 1.941920272768e-01 
     51 KSP Residual norm 1.922677252736e-01 
     52 KSP Residual norm 1.905296278912e-01 
     53 KSP Residual norm 1.885157785024e-01 
     54 KSP Residual norm 1.864310348660e-01 
     55 KSP Residual norm 1.840933785383e-01 
     56 KSP Residual norm 1.816375011259e-01 
     57 KSP Residual norm 1.789283955174e-01 
     58 KSP Residual norm 1.761885995714e-01 
     59 KSP Residual norm 1.730989880647e-01 
     60 KSP Residual norm 1.698893934907e-01 
     61 KSP Residual norm 1.686466605266e-01 
     62 KSP Residual norm 1.676868006511e-01 
     63 KSP Residual norm 1.664743231767e-01 
     64 KSP Residual norm 1.655165094815e-01 
     65 KSP Residual norm 1.647013437694e-01 
     66 KSP Residual norm 1.636293548512e-01 
     67 KSP Residual norm 1.625887835217e-01 
     68 KSP Residual norm 1.616130444010e-01 
     69 KSP Residual norm 1.606527465295e-01 
     70 KSP Residual norm 1.595043886576e-01 
     71 KSP Residual norm 1.584107917795e-01 
     72 KSP Residual norm 1.573585996867e-01 
     73 KSP Residual norm 1.563736325262e-01 
     74 KSP Residual norm 1.550857675070e-01 
     75 KSP Residual norm 1.538422201622e-01 
     76 KSP Residual norm 1.529168139929e-01 
     77 KSP Residual norm 1.518769980090e-01 
     78 KSP Residual norm 1.506082749945e-01 
     79 KSP Residual norm 1.496138126452e-01 
     80 KSP Residual norm 1.488145201121e-01 
     81 KSP Residual norm 1.478752162585e-01 
     82 KSP Residual norm 1.470600179448e-01 
     83 KSP Residual norm 1.463762085398e-01 
     84 KSP Residual norm 1.457498331023e-01 
     85 KSP Residual norm 1.449988615571e-01 
     86 KSP Residual norm 1.444498379838e-01 
     87 KSP Residual norm 1.439131724618e-01 
     88 KSP Residual norm 1.432874706114e-01 
     89 KSP Residual norm 1.426582402964e-01 
     90 KSP Residual norm 1.421332116398e-01 
     91 KSP Residual norm 1.418111774933e-01 
     92 KSP Residual norm 1.415010498940e-01 
     93 KSP Residual norm 1.410345482849e-01 
     94 KSP Residual norm 1.407001425995e-01 
     95 KSP Residual norm 1.404209241681e-01 
     96 KSP Residual norm 1.399796812518e-01 
     97 KSP Residual norm 1.395905054212e-01 
     98 KSP Residual norm 1.392195528664e-01 
     99 KSP Residual norm 1.387793202435e-01 
    100 KSP Residual norm 1.382499598867e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  5 KSP Residual norm 2.657204543772e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.557317951876e-01 
      1 KSP Residual norm 5.687102848036e-01 
      2 KSP Residual norm 4.804869929193e-01 
      3 KSP Residual norm 4.303045022043e-01 
      4 KSP Residual norm 3.900492497032e-01 
      5 KSP Residual norm 3.572427241413e-01 
      6 KSP Residual norm 3.376205507046e-01 
      7 KSP Residual norm 3.222866239185e-01 
      8 KSP Residual norm 3.052085426574e-01 
      9 KSP Residual norm 2.931797681802e-01 
     10 KSP Residual norm 2.843096503746e-01 
     11 KSP Residual norm 2.740235253347e-01 
     12 KSP Residual norm 2.653664215831e-01 
     13 KSP Residual norm 2.588553274795e-01 
     14 KSP Residual norm 2.530460522281e-01 
     15 KSP Residual norm 2.470778280506e-01 
     16 KSP Residual norm 2.416014145666e-01 
     17 KSP Residual norm 2.372203136263e-01 
     18 KSP Residual norm 2.332877485731e-01 
     19 KSP Residual norm 2.290164081771e-01 
     20 KSP Residual norm 2.257198512755e-01 
     21 KSP Residual norm 2.230447570332e-01 
     22 KSP Residual norm 2.200506665841e-01 
     23 KSP Residual norm 2.172526038965e-01 
     24 KSP Residual norm 2.149606510658e-01 
     25 KSP Residual norm 2.127679767274e-01 
     26 KSP Residual norm 2.105841049585e-01 
     27 KSP Residual norm 2.085711891560e-01 
     28 KSP Residual norm 2.068159303987e-01 
     29 KSP Residual norm 2.051286151973e-01 
     30 KSP Residual norm 2.032793304385e-01 
     31 KSP Residual norm 2.026705979945e-01 
     32 KSP Residual norm 2.021641405045e-01 
     33 KSP Residual norm 2.010205389792e-01 
     34 KSP Residual norm 2.001793488662e-01 
     35 KSP Residual norm 1.994784037099e-01 
     36 KSP Residual norm 1.984874777798e-01 
     37 KSP Residual norm 1.974581583066e-01 
     38 KSP Residual norm 1.965477611494e-01 
     39 KSP Residual norm 1.957077906143e-01 
     40 KSP Residual norm 1.945621347520e-01 
     41 KSP Residual norm 1.935457727503e-01 
     42 KSP Residual norm 1.924825220556e-01 
     43 KSP Residual norm 1.913040823114e-01 
     44 KSP Residual norm 1.899861671572e-01 
     45 KSP Residual norm 1.886549635800e-01 
     46 KSP Residual norm 1.865281502343e-01 
     47 KSP Residual norm 1.844384678214e-01 
     48 KSP Residual norm 1.828485717364e-01 
     49 KSP Residual norm 1.810517436385e-01 
     50 KSP Residual norm 1.793297134578e-01 
     51 KSP Residual norm 1.771668638292e-01 
     52 KSP Residual norm 1.750905645734e-01 
     53 KSP Residual norm 1.728240082694e-01 
     54 KSP Residual norm 1.704949983153e-01 
     55 KSP Residual norm 1.677357180009e-01 
     56 KSP Residual norm 1.649764059989e-01 
     57 KSP Residual norm 1.618810907477e-01 
     58 KSP Residual norm 1.586285207335e-01 
     59 KSP Residual norm 1.549410663855e-01 
